url,name,price,brand,image_url,availability,description,category
https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/olive-oil/pons-extra-virgin-olive-oil-1l/12624290,Pons Extra Virgin Olive Oil 1L,"Rs. 6,415",PONS,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12624290-0-M.jpg,In Stock,"From a special selection of the highest quality olives cultivated under the Mediterranean sun, with all their original taste and aroma. Nutritional information for 100g * Energy 3700 kJ / 900kcal * Fat of which 100 g * Saturates 15 g * Carbohydrate of which 0 g * Sugars 0 g * Protein 0 g * Salt 0 g Name: Pons Extra Virgin Olive Oil 1L tags for search purposes only, these do not signify the actual product attributes - for clarity on product, please contact our customer support team: olive oil, olive, oil",cooking-essentials/commodities/oil-and-ghee/olive-oil
https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/olive-oil/mueloliva-extra-virgin olive-oil-1l/12636053,Mueloliva Extra Virgin Olive Oil 1L,"Rs. 6,150",Mueloliva,https://metro-b2c.s3.amazonaws.com/Products/1716444287699.jpg,In Stock,Mueloliva Extra Virgin Olive Oil 1L,cooking-essentials/commodities/oil-and-ghee/olive-oil
https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/olive-oil/borges-extra-virgin-oil-bottle-5-liter/12632993,Borges Extra Virgin Oil Bottle 5 Liter,"Rs. 25,540",BORGES,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12632993-0-M.jpg,In Stock,Name: Borges Extra Virgin Oil 5Ltr,cooking-essentials/commodities/oil-and-ghee/olive-oil
https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/olive-oil/borges-extra-virgin-tin-4-litre/12624224,Borges Extra Virgin Tin 4 Litre,"Rs. 19,500",Borges,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12624224-0-M.jpg,In Stock,"From a special selection of the highest quality olives cultivated under the Mediterranean sun, with all their original taste and aroma. Nutritional information for 100g * Energy 3700 kJ / 900kcal * Fat of which 100 g * Saturates 15 g * Carbohydrate of which 0 g * Sugars 0 g * Protein 0 g * Salt 0 g Name: Borges Extra Virgin Tin 4 Litre tags for search purposes only, these do not signify the actual product attributes - for clarity on product, please contact our customer support team: olive oil, olive, oil",cooking-essentials/commodities/oil-and-ghee/olive-oil
https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/olive-oil/olivola-oil-bottle-5-ltr/12624426,Olivola Oil Bottle 5 LTR,"Rs. 2,888",Mezan,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12624426-0-M.jpg,Out of Stock,"The only cooking oil that has come up with the ultimate power/Ultimate Strength of IMMUNITY BOOSTERS, Mezan Cooking Oil is enriched with the Natural Power of TOCOPHEROL which provides countless/numerous benefits to human body such as, Anti-Aging properties Vitalizing skin Developing strong resistance power to fight against diseases Enhancing immunity system and metabolism Protecting cells from damages Lowering cholesterol Reducing risk of heart diseases Reducing risk of blood pressure Name: Mezan Olivola Oil Bottle 5 LTR tags for search purposes only, these do not signify the actual product attributes - for clarity on product, please contact our customer support team: olive oil, olive, oil",cooking-essentials/commodities/oil-and-ghee/olive-oil
https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/olive-oil/metro-chef-pomace-olive-oil-5-ltr/12623752,Metro Chef Pomace Olive Oil 5 LTR,"Rs. 8,800",Metro Chef,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12623752-0-M.jpg,Out of Stock,"* Olive Pomace Oil * Blended from Refined Pomace Olive Oil and Extra Virgin Olive Oil * Manufactured and packed under strict Quality Control standards * Distintive Fruity odor * Yellow to Green in color * Cholesterol Free * For all pupose cooking, Deep frying and all purpose cooking Premium Olive Oil Brand. Produced and Packed in Spain. Mundial Olive Oil is Obtained from finest quality of Choice Olives. Name: OK Pomace Olive Oil 5 LTR tags for search purposes only, these do not signify the actual product attributes - for clarity on product, please contact our customer support team: olive oil, olive, oil",cooking-essentials/commodities/oil-and-ghee/olive-oil
https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/olive-oil/borges-pomace-olive-oil-4-litre/12624215,Borges Pomace Olive Oil 4 Litre,"Rs. 11,680",Borges,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12624215-0-M.jpg,In Stock,"Meezan Canola Oil is the only canola oil that has come up with IMMUNITY BOOSTERS and is enriched with TOCOPHEROL which provides numerous benefits to human body such as: Anti-Aging properties Vitalizes skin Develops strong resistance power to fight against diseases Reduces risk of cancer Enhances immunity system and metabolism Protects cells from damages Lowers cholesterol Reduces risk of heart diseases Reduces risk of blood pressure Name: Borges Pomace Olive Oil 4 Litre tags for search purposes only, these do not signify the actual product attributes - for clarity on product, please contact our customer support team: olive oil, olive, oil",cooking-essentials/commodities/oil-and-ghee/olive-oil
https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/olive-oil/mundial-pomace-olive-oil-4-ltr/12624494,Mundial Pomace Olive Oil 4 LTR,"Rs. 11,120",Mundial,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12624494-0-M.jpg,Out of Stock,"* Olive Pomace Oil * Blended from Refined Pomace Olive Oil and Extra Virgin Olive Oil * Manufactured and packed under strict Quality Control standards * Distintive Fruity odor * Yellow to Green in color * Cholesterol Free * For all pupose cooking, Deep frying and all purpose cooking Premium Olive Oil Brand. Produced and Packed in Spain. Mundial Olive Oil is Obtained from finest quality of Choice Olives. Name: Mundial Pomace Olive Oil 4 LTR tags for search purposes only, these do not signify the actual product attributes - for clarity on product, please contact our customer support team: olive oil, olive, oil",cooking-essentials/commodities/oil-and-ghee/olive-oil
https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/olive-oil/borges-extra-light-olive-oil-tin-4l/12640888,Borges Extra Light Olive Oil Tin 4L,"Rs. 18,400",BORGES,https://metro-b2c.s3.ap-southeast-1.amazonaws.com/products_images_new/12640888-0-M.jpg,In Stock,,cooking-essentials/commodities/oil-and-ghee/olive-oil
https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/olive-oil/mueloliva-extra-virgin olive-oil-5l/12636054,Mueloliva Extra Virgin Olive Oil 5L,"Rs. 24,000",Mueloliva,https://metro-b2c.s3.amazonaws.com/Products/1716444447096.jpg,Out of Stock,Mueloliva Extra Virgin Olive Oil 5L,cooking-essentials/commodities/oil-and-ghee/olive-oil
